読み方	日本語	英語
とほ	徒歩	walking, going on foot
じょこう	徐行	slow speed
こうはい	後輩	one's junior
こうしゃ	後者	the latter
あとかたづけ	後片付け	cleaning up
こうき	後期	latter period
あとがき	後書き	postscript, afterword
こうほう	後方	back, rear
あともどり	後戻り	turning back, retreat
こうかい	後悔	regret
あとまわし	後回し	deferment, postponement
こうはん	後半	latter half, second half
うしろむき	後ろ向き	facing backward
うしろ	後ろ	back, behind
あと	後	after
のち	後	after, afterwards
たいぐう	待遇	treatment, pay
まちあいしつ	待合室	waiting room
まつ	待つ	wait, wait for
まちどおしい	待ち遠しい	just can't wait for, long for
まちのぞむ	待ち望む	expect, look forward to
まちあわせる	待ち合わせる	wait for, meet by appointment
まちあわせ	待ち合わせ	waiting, rendez-vous
おうふく	往復	going and returning, round trip
かのじょ	彼女	she, one's girlfriend
かれら	彼ら	they
かれ	彼	he, one's boyfriend
やくだつ	役立つ	be of use, serve a purpose
やくめ	役目	duty, role
やくしょ	役所	public office
やくわり	役割	role, part
やくにん	役人	government official
やくにたつ	役に立つ	be useful, be helpful
やく	役	role, part
えいきょう	影響	influence, effect
かげ	影	shadow, shade
ほる	彫る	engrave, carve
けいせい	形成	formation
けいしきてき	形式的	formal
けいしき	形式	form, model
けいようし	形容詞	adjective
かたち	形	shape, form
とうせん	当選	election to office
とうばん	当番	being on duty, person on duty
とうぜん	当然	natural, as a matter of course
とうじ	当時	at that time, at the present time
とうじつ	当日	that day
とうきょく	当局	the authorities concerned
とうしょ	当初	original, initial
とうぶん	当分	for some time, for the present
とうにん	当人	the person in question
あてる	当てる	guess, hit the jackpot
あたる	当たる	hit, strike
あたりまえ	当たり前	of course, obvious
あたり	当たり	hit, success
はずむ	弾む	spring back, bounce
ひく	弾く	play on
たま	弾	bullet, shot
きょうちょう	強調	emphasis, stress
ごうとう	強盗	robbery
きょうれつ	強烈	intense, severe
つよき	強気	tough, bullish
ごういん	強引	overbearing, coercive
きょうか	強化	strengthening
きょうりょく	強力	powerful
きょうせい	強制	compulsion, force
つよめる	強める	strengthen, emphasize
つよまる	強まる	become strong, gain strength
つよさ	強さ	strength, power
つよい	強い	strong
はる	張る	strain, be stretched
はりきる	張り切る	go all out, make efforts
じゃくてん	弱点	weak point
よわき	弱気	timid, weak-spirited
よわる	弱る	weaken, be debilitated
よわめる	弱める	weaken, lower
よわみ	弱み	weakness, shortcoming
よわまる	弱まる	weaken, abate
よわい	弱い	weak
おとうと	弟	younger brother
いんよう	引用	quotation, citation
ひっこむ	引っ込む	draw back, pull in
ひっこす	引っ越す	move, change quarters
ひっこし	引っ越し	moving
ひっかける	引っ掛ける	hook on
ひっかかる	引っ掛かる	be caught, be trapped
ひっぱる	引っ張る	pull, drag
ひく	引く	draw, pull
ひきかえす	引き返す	turn back, retrace one's steps
ひきざん	引き算	subtraction
ひきとめる	引き止める	detain, keep
ひきのばす	引き延ばす	extend, prolong
ひきうける	引き受ける	undertake
ひきとる	引き取る	take over, take custody
ひきわけ	引き分け	draw, drawn game
ひきだす	引き出す	draw out, lure out
ひきだし	引き出し	drawer, withdrawal
ひきのばす	引き伸ばす	stretch out, enlarge
ひきあげる	引き上げる	pull up, salvage
ひきずる	引きずる	drag along, trail
しき	式	ceremony
べんごし	弁護士	lawyer, attorney
べんご	弁護	defense
べんろん	弁論	discussion, oral proceedings
べんとう	弁当	box lunch, picnic lunch
けんせつ	建設	construction, building
けんちく	建築	construction, architecture
たてもの	建物	building, structure
たてまえ	建て前	a front, polite face
たてる	建てる	build, erect
たつ	建つ	be built, be erected
えんちょう	延長	extension, prolongation
えんき	延期	postponement, deferment
のびる	延びる	extend, be postponed
のばす	延ばす	extend, postpone
ろうか	廊下	hallway, corridor
はいし	廃止	abolishment, abandonment
にわ	庭	garden, court
ざしき	座敷	drawing room, Japanese-style room
ざせき	座席	seat
ざぶとん	座布団	cushion
すわる	座る	sit, sit down
どわすれ	度忘れ	memory lapse, mental block
たびたび	度々	often
ふりつ	府立	prefectural
ふちょう	府庁	urban prefectural office
ふ	府	urban prefecture
てんいん	店員	clerk, salesperson
みせ	店	shop, store
そこ	底	bottom, depths
とこや	床屋	barber, barbershop
ゆか	床	floor
ひろば	広場	square, open space
こうこく	広告	public notice, advertisement
ひろめる	広める	spread, extend
ひろまる	広まる	spread, be in general circulation
ひろさ	広さ	area, extent
ひろげる	広げる	spread, unfold
ひろがる	広がる	spread out, reach
ひろい	広い	wide, big
ちょう	庁	public office, agency
いくら	幾ら	how much
いくら	幾ら	no matter how much
いくつ	幾つ	how many, how old
ようちえん	幼稚園	kindergarten
ようち	幼稚	childish, infantile
ようじ	幼児	young child, infant
おさない	幼い	young, childish
かんぶ	幹部	executive
みき	幹	tree trunk
こううん	幸運	good fortune, good luck
こうふく	幸福	happiness, good fortune
しあわせ	幸せ	happiness, good fortune
さいわい	幸い	happiness, good fortune
ねんれい	年齢	age, years
ねんかん	年間	period of one year
ねんちょう	年長	seniority
ねんぱい	年配	age, elderly age
ねんがじょう	年賀状	New Year's card
ねんが	年賀	New Year's card
ねんまつ	年末	end of year
ねんがっぴ	年月日	date
としつき	年月	time, years
ねんげつ	年月	years, time
ねんど	年度	year, school year
としより	年寄り	old person, older councilor
ねんし	年始	beginning of the year
ねんしゅう	年収	annual income
ねんだい	年代	age, date
ねんじゅう	年中	all year
としした	年下	younger, junior
としうえ	年上	older, senior
ねんねん	年々	year by year, annually
とし	年	year, age
へいめん	平面	level surface, plain
へいや	平野	plain, open field
へいこう	平行	parallel, side by side
びょうどう	平等	equality, impartiality
へいき	平気	nonchalant, calm
へいじつ	平日	weekday
へいほう	平方	square
へいせい	平成	Heisei era
へいきん	平均	average, equilibrium
へいわ	平和	peace, harmony
へいぼん	平凡	common, ordinary
ひらがな	平仮名	hiragana
たいら	平ら	flat, level
ひらたい	平たい	flat, level
ほす	干す	dry, desiccate
まく	幕	curtain
はばひろい	幅広い	wide, broad
はば	幅	width, breadth
ぼうし	帽子	cap, hat
じょうしき	常識	common sense, common knowledge
つねに	常に	always, at all times
きせい	帰省	homecoming
きたく	帰宅	return home
きこく	帰国	return to one's country
かえる	帰る	return, go back
かえり	帰り	return, going home
かえす	帰す	send home, see out
おび	帯	belt, sash
せき	席	seat, one's place
しわす	師走	December
きぼう	希望	hope, wish
ふとん	布団	futon, bedquilt
ぬの	布	cloth
しちょう	市長	mayor
しがい	市街	the streets, downtown
しりつ	市立	municipal, city
しみん	市民	citizens, townsmen
しやくしょ	市役所	municipal office, city hall
しがい	市外	city outskirts, suburbs
いちば	市場	market, marketplace
しじょう	市場	market, exchange
しない	市内	in the city
し	市	city
まく	巻く	roll up, wind, wrap
さべつ	差別	discrimination
さす	差す	open (an umbrella)
さしだす	差し出す	submit, stretch out
さしあげる	差し上げる	respectfully give
さ	差	difference
きょだい	巨大	huge, gigantic
ひだりて	左手	left hand
さゆう	左右	right and left
ひだりきき	左利き	left-handedness, left-hander
ひだりがわ	左側	left side
ひだり	左	left
こうぎょう	工業	industry, manufacturing industry
こうがくぶ	工学部	department of engineering
こうがく	工学	engineering
くふう	工夫	contrivance, scheme
こうじょう	工場	factory, plant
こうじ	工事	construction
す	巣	nest, den
めぐる	巡る	go round, circulate
しゅう	州	state
かわ	川	river, stream
あらし	嵐	storm
くずれる	崩れる	crumble, collapse
くずす	崩す	destroy, break
がけ	崖	cliff
しま	島	island, isle
とう	島	island
とうげ	峠	mountain pass, ridge
きし	岸	shore, bank
いわ	岩	rock, crag
さんみゃく	山脈	mountain range
やまのぼり	山登り	mountain climbing
やま	山	mountain
はきもの	履物	footwear
りれきしょ	履歴書	resume, bio
りれき	履歴	history, personal history
はく	履く	put on footwear, wear
ぞくする	属する	belong to, be one of
てんかい	展開	unfolding, development
てんらんかい	展覧会	exhibition
くず	屑	waste, scraps
やね	屋根	roof
おくじょう	屋上	housetop, roof
とどける	届ける	deliver, give notice
とどけ	届け	report, delivery
とどく	届く	reach, be received
いま	居間	living room
いねむり	居眠り	doze, nap
いる	居る	be present
おる	居る	be present, stay (humble)
きょく	局	bureau, public service office
お	尾	tail
しゅうしょく	就職	finding employment
しゅうにん	就任	inauguration, appointment
つく	就く	set about a task, enter upon
しょうりょう	少量	small quantity
しょうすう	少数	small number, minority
しょうねん	少年	boy
しょうじょ	少女	girl
すくなくとも	少なくとも	at least
すくない	少ない	few, little
すこしも	少しも	at all
すこし	少し	a bit, a little while
しょうしょう	少々	a little, a few
しょうしょう	少々	a little, a few
こむぎこ	小麦粉	flour
こむぎ	小麦	wheat
ことり	小鳥	small bird
こさめ	小雨	drizzle
しょうりょう	小量	small amount
こづかい	小遣い	pocket money, spending money
しょうせつ	小説	novel, story
しょうすう	小数	decimal
こゆび	小指	little finger, little toe
おがわ	小川	brook, stream
しょうがくせい	小学生	schoolchildren, schoolboy
しょうがっこう	小学校	elementary school
こうりてん	小売店	retail store, outlet
こがた	小型	small-sized
こづつみ	小包	parcel, package
しょうにか	小児科	pediatrics
しょうべん	小便	urine, pee
ちいさい	小さい	small
しょう	小	smallness, small size
どうにゅう	導入	introduction
みちびく	導く	guide, lead
たずねる	尋ねる	inquire, search for
そんけい	尊敬	respect, esteem, honor
しょうらい	将来	future, in the future
さす	射す	shine on
せんもんか	専門家	specialist, expert
せんもん	専門	specialty, profession
せんよう	専用	exclusive use, private use
せんこう	専攻	major, specialization
ふうとう	封筒	envelope
ふう	封	seal, sealing
じゅみょう	寿命	life span
すし	寿司	sushi
たいしょう	対象	target, object
たいだん	対談	interview
たいわ	対話	dialogue, conversation
たいさく	対策	measure, action
たいとう	対等	equality, parity
たいりつ	対立	opposition, antagonism
たいひ	対比	contrast, comparison
たいおう	対応	correspondence, equivalence
たいする	対する	face, be in response to
つい	対	pair
てら	寺	buddhist temple
りょう	寮	dormitory, lodging house
しんぎ	審議	deliberation, consideration
ねすごす	寝過ごす	oversleep
ねころぶ	寝転ぶ	lie down
しんしつ	寝室	bedroom
ねぼう	寝坊	late riser, oversleeping
ねる	寝る	sleep, go to sleep
ねかせる	寝かせる	put to bed, lay down
ねかす	寝かす	put to sleep
さむけ	寒気	chill
かんだんけい	寒暖計	thermometer
さむさ	寒さ	coldness, cold
さむい	寒い	cold (temperature of the air)
とむ	富む	be rich, abound in
ひそか	密か	secret, private
よる	寄る	stop by, stop off
よりあつまる	寄り集まる	gather, assemble
よりみち	寄り道	dropping by, going out of the way
よりかかる	寄り掛かる	lean against something
よせる	寄せる	draw near, draw up, gather
さびしい	寂しい	lonely, desolate, sad
しゅくだい	宿題	homework
ようい	容易	easy, simple
ようき	容器	receptacle, container
やちん	家賃	rent
かけい	家計	family finances
かぞく	家族	family, household
かてい	家庭	home, family
かおく	家屋	house, building
いえで	家出	running away from home
かない	家内	my wife
かぐ	家具	furniture
かじ	家事	housework, domestic duties
やぬし	家主	landlord
いえ	家	house, home
うち	家	house, home
がい	害	harm, damage
しつない	室内	indoors
せんでん	宣伝	publicity, advertisement
きゃくま	客間	guest room, parlor
きゃっかんてき	客観的	objective
きゃくせき	客席	seat, passenger seat
きゃく	客	visitor, customer
じっけん	実験	experiment
じっさい	実際	truth, actual state
じっこう	実行	practice, execution
じっしゅう	実習	practice, training
じっせき	実績	achievement, performance
じつようてき	実用的	practical
じつよう	実用	practical use, utility
じつげん	実現	implementation, realization
じつぶつ	実物	real thing, actual object
じっし	実施	enforcement, implementation
じったい	実態	the actual situation, the realities
じっかん	実感	true sense, realization
じつりょく	実力	real ability, capability
じつれい	実例	example, instance
みのる	実る	bear fruit, ripen
じつは	実は	actually
じつに	実に	truly, surely
み	実	fruit, nut
ほうせき	宝石	gem, jewel
あてな	宛名	name of recipient, addressee
あてさき	宛先	recipient, addressee
ていしょく	定食	day's special, set menu
ていぎ	定義	definition
ていきけん	定期券	commuter's pass
ていき	定期	fixed term, regular
ていねん	定年	mandatory retirement age
ていいん	定員	fixed staff number, capacity
ていか	定価	fixed price
ていきゅうび	定休日	regular holiday
さだめる	定める	fix, determine
かんちょう	官庁	government office
しゅうきょう	宗教	religion
かんせい	完成	completion, finish
かんぜん	完全	perfect, complete
かんりょう	完了	completion
あんしん	安心	peace of mind, relief
あんてい	安定	stability, composure
やすうり	安売り	sale
あんぜん	安全	safety, security
やすっぽい	安っぽい	cheap, tacky
やすい	安い	inexpensive, cheap
しゅび	守備	defense, fielding
まもる	守る	protect, observe
うちゅう	宇宙	universe, space
まご	孫	grandchild
がくちょう	学長	college president
がくぶ	学部	faculty, department
がくひ	学費	school expenses, tuition
がくせつ	学説	theory
がくしゃ	学者	scholar
がくしゅう	学習	study, learning
がっか	学科	subject, department
がくせい	学生	student
がくれき	学歴	educational history
がっこう	学校	school
がっき	学期	school term
がくねん	学年	school year, grade
がくえん	学園	educational institution, school
がくもん	学問	learning, scholarship
がくりょく	学力	scholastic performance, academic ability
がくわり	学割	student discount
がっかい	学会	academic association, academic conference
まなぶ	学ぶ	learn, study
こどく	孤独	solitary, lonely
きせつ	季節	season
そんざい	存在	existence, being
ぞんじる	存じる	think, know
じびき	字引	dictionary
じ	字	character, letter
しそん	子孫	descendant, offspring
こども	子供	child, kid
こ	子	child, kid
うれしい	嬉しい	happy, glad
いやがる	嫌がる	dislike, hate
きらう	嫌う	dislike
きらい	嫌い	dislike
いや	嫌	dislike, have a dislike for
よめ	嫁	bride, daughter-in-law
ふじん	婦人	woman, lady
こんやく	婚約	engagement, betrothal
ばあさん	婆さん	grandmother, old lady
ごらく	娯楽	amusement, pastime
むすめ	娘	daughter, girl
いばる	威張る	put on airs, be arrogant
しせい	姿勢	posture, attitude
すがた	姿	figure, appearance
めい	姪	niece
いいんかい	委員会	committee
いいん	委員	committee member, delegate
せいめい	姓名	full name
せい	姓	surname, family name
しじゅう	始終	from beginning to end, at all times
しはつ	始発	first departure
はじめる	始める	begin, start
はじめに	始めに	in the beginning, early in
はじめ	始め	beginning, origin
はじまる	始まる	begin
はじまり	始まり	beginning
しまい	姉妹	sisters
ねえさん	姉さん	older sister, girl, miss
あね	姉	older sister
つま	妻	wife
いもうと	妹	younger sister
ぼうがい	妨害	hindrance, obstruction
にんしん	妊娠	pregnancy, conception
こうちょう	好調	favorable condition
こうい	好意	favor, affection
こうきしん	好奇心	curiosity
このむ	好む	like, be fond of
このみ	好み	taste, preference
すききらい	好き嫌い	likes and dislikes, taste
すき	好き	favorite, liked
にょうぼう	女房	wife
じょせいてき	女性的	feminine, womanly
じょせい	女性	woman, female
じょし	女子	woman, girl
じょゆう	女優	actress
おんならしい	女らしい	womanly, feminine
おんなのこ	女の子	girl, daughter
おんな	女	woman, girl
うばう	奪う	rob, take by force
しょうがくきん	奨学金	scholarship, fellowship
おくさま	奥様	married woman, someone's wife
おくさん	奥さん	married lady, your wife
おく	奥	inner part, the back, inner chamber
けいやく	契約	contract, agreement
きれい	奇麗	beautiful
きせき	奇跡	miracle, wonder
きすう	奇数	odd number
しつれい	失礼	impoliteness, bad manners, I beg your parden/Goodbye
しつぎょう	失業	unemployment, loss of job
しつぼう	失望	disappointment, loss of hope
しっぱい	失敗	failure, mistake
しつれん	失恋	broken heart
うしなう	失う	lose, miss
ふうふ	夫婦	husband and wife, married couple
ふさい	夫妻	husband and wife, Mr. and Mrs.
ふじん	夫人	wife, married lady
おっと	夫	husband
たいよう	太陽	sun
ふとる	太る	grow fat, fatten
ふとい	太い	thick, fat
てんのう	天皇	emperor
てんねん	天然	nature
てんさい	天災	natural disaster
てんきよほう	天気予報	weather forecast
てんき	天気	weather
てんさい	天才	genius
てんごく	天国	paradise
てんこう	天候	weather, climate
てんじょう	天井	ceiling
あまのがわ	天の川	Milky Way
てん	天	sky, Heaven
おおむぎ	大麦	barley
おおゆき	大雪	heavy snow
おおあめ	大雨	heavy rain
たいりく	大陸	continent
たいきん	大金	large sum of money
たいりょう	大量	large quantity, great volume
だいぶぶん	大部分	most, greater part
おおどおり	大通り	main street
たいしゅう	大衆	the masses, the populace
おおくらしょう	大蔵省	Ministry of Finance
だいじん	大臣	minister
だいたん	大胆	boldness, daring
だいとうりょう	大統領	president (of a country)
おおみず	大水	flood, inundation
たいしょう	大正	Taisho era
たいがい	大概	generally, probably
だいこん	大根	daikon radish, oriental radish
おおみそか	大晦日	new year's eve
たいてい	大抵	generally, mostly
おおて	大手	major companies
たいせん	大戦	world war
おおいそぎ	大急ぎ	in a great hurry
おおはば	大幅	drastically, substantially
だいく	大工	carpenter
たいそう	大層	very, highly
だいしょう	大小	size
おおや	大家	landlord
だいがくいん	大学院	graduate school
だいがくせい	大学生	university student
だいがく	大学	university, college
だいきらい	大嫌い	hate
だいすき	大好き	love
たいへん	大変	awful, serious
おおごえ	大声	loud voice
おおがた	大型	large, large scale
たいこく	大国	world power, large country
おおよろこび	大喜び	great joy, delight
おおぜい	大勢	large numbers, a lot of
たいせつ	大切	important, valuable
だいぶ	大分	very, greatly
だいべん	大便	stool, feces
たいしかん	大使館	embassy
たいし	大使	ambassador
だいたい	大体	outline, generally
たいかい	大会	mass meeting, tournament
おとなしい	大人しい	gentle, quiet, subdued
おとな	大人	adult
おとな	大人	adult
だいじ	大事	importance
だいじょうぶ	大丈夫	alright, OK
たいして	大して	very, greatly
おおげさ	大げさ	exaggerate
おおきさ	大きさ	size, dimensions
おおきい	大きい	big
おおいに	大いに	very, greatly
だい	大	bigness, large size
むちゅう	夢中	be absorbed
ゆめ	夢	dream
やかん	夜間	night, nighttime
よぞら	夜空	night sky
よふかし	夜更かし	sitting up late at night
よあけ	夜明け	dawn, daybreak
よなか	夜中	midnight, dead of night
よる	夜	night (from sunset to sunrise)
よ	夜	night, evening
たりょう	多量	large quantity, great deal
たすう	多数	large number, multitude
たぼう	多忙	very busy
たしょう	多少	a little, somewhat
たぶん	多分	probably, perhaps
おおく	多く	much, largely
おおい	多い	lots of
がいしょく	外食	eating out, dining out
がいぶ	外部	outside, outer
がいか	外貨	foreign currency
がいかん	外観	external appearance
げか	外科	surgery
がいしょう	外相	Minister of Foreign Affairs
がいらいご	外来語	loanword, foreign word
がいこくご	外国語	foreign language
がいこくじん	外国人	foreigner
がいこく	外国	foreign country
がいむしょう	外務省	Ministry of Foreign Affairs
がいしゅつ	外出	outing
そとがわ	外側	exterior, outside
がいじん	外人	foreigner, alien
がいこう	外交	diplomacy, foreign relations
はずれる	外れる	come off
はずれ	外れ	blank
はずす	外す	remove
そと	外	outside, open air
ゆうはん	夕飯	evening meal, supper
ゆうしょく	夕食	supper
ゆうだち	夕立	sudden evening shower
ゆうやけ	夕焼け	sunset glow
ゆうぐれ	夕暮れ	evening, twilight
ゆうひ	夕日	setting sun
ゆうがた	夕方	evening
ゆうかん	夕刊	evening edition
かき	夏季	summer, summer season
なつやすみ	夏休み	summer vacation
なつ	夏	summer
へんこう	変更	alteration, change
へんかん	変換	change, conversion
へんか	変化	change
かわる	変わる	change
かえる	変える	change
へん	変	strange, weird, funny
ばいばい	売買	buying and selling, trade
ばいてん	売店	booth, store
うれる	売れる	sell, be in demand
うる	売る	sell
うりば	売り場	sales floor, department
うりきれる	売り切れる	be sold out, go out of stock
うりきれ	売り切れ	sellout, sold out
うりだす	売り出す	put on sale
うりあげ	売り上げ	sales, proceeds
こえ	声	voice, sound
こわれる	壊れる	break, break down, get out of order
こわす	壊す	break, destroy, smash
かべ	壁	wall, partition
すみ	墨	black ink
ついらく	墜落	fall, crash
ぞうげん	増減	increase and decrease, rise and fall
ぞうだい	増大	increase, enlargement
ぞうか	増加	increase, gain
ふやす	増やす	increase, add
ます	増す	increase, augment
ふえる	増える	increase, accrue
ぼち	墓地	graveyard, cemetery
はかまいり	墓参り	visit to a grave
はか	墓	grave, gravestone
きょうかい	境界	boundary, border
さかい	境	boundary, border
しおからい	塩辛い	salty
しお	塩	salt
ふさぐ	塞ぐ	close, shut
ふさがる	塞がる	close up
ぬる	塗る	spread on, paint
とう	塔	tower, pagoda
かたまり	塊	lump, ingot
へい	塀	fence, wall
ばめん	場面	scene, situation
ばしょ	場所	place, space
ばあい	場合	situation, case
ば	場	opportunity, occasion
ほうしゅう	報酬	remuneration, reward
ほうどう	報道	news, report
ほうこく	報告	report
きそ	基礎	basis, foundation
きじゅん	基準	standard, criterion
きじゅん	基準	standard, criterion
きほん	基本	basis, foundation
きち	基地	base, military base
もとづく	基づく	be based on
しろ	城	castle, fort
うめる	埋める	bury, fill up
うずめる	埋める	bury, fill in
かた	型	type, mold
すいちょく	垂直	vertical, perpendicular
ぼうさん	坊さん	Buddhist priest
さか	坂	slope, incline
じめん	地面	surface, ground
じしん	地震	earthquake
ちり	地理	geography
ちきゅう	地球	the Earth
じごく	地獄	hell, inferno
ちてん	地点	spot, point
ちほう	地方	district, region
ちけい	地形	geographical features, topography
ちへいせん	地平線	horizon
ちたい	地帯	zone, area
ちいき	地域	region, area
ちず	地図	map, atlas
じみ	地味	plain, sober
ちめい	地名	place name
ちか	地価	price of land
ちい	地位	position, status
ちかてつ	地下鉄	subway
ちかどう	地下道	underpass, underground passage
ちか	地下	underground
ちじょう	地上	above ground
ち	地	ground, place
ざいがく	在学	attendance at school
あつりょく	圧力	pressure
みやげ	土産	souvenir
どようび	土曜日	Saturday
とち	土地	land
つち	土	soil, ground
こくさいてき	国際的	international
こくさいか	国際化	internationalization
こくさい	国際	international
こくてつ	国鉄	Japan National Railways
こくどう	国道	national highway
こくれん	国連	United Nations
こくひ	国費	national expenditure
こくご	国語	national language, Japanese
こくせき	国籍	nationality, citizenship
こくりつ	国立	national
こくさん	国産	domestically produced
こくみん	国民	the people, nation
こっき	国旗	national flag
こっか	国家	state, country
こくがい	国外	abroad, outside the country
こっきょう	国境	national border
こくど	国土	country, territory
こくめい	国名	country name
こくない	国内	domestic, internal
こっかい	国会	National Diet, parliament
こっこう	国交	diplomatic relations, national friendship
くにぐに	国々	nations, countries
くに	国	country
こゆう	固有	peculiar to, characteristic
こてい	固定	fixing, stability
こたい	固体	solid, solid matter
かためる	固める	harden, strengthen
かたまる	固まる	harden, solidify
かたい	固い	stiff, tight
としょかん	図書館	library
としょしつ	図書室	library
としょ	図書	books
はかる	図る	strive for, attempt
ず	図	figure, map
いご	囲碁	game of "go"
かこむ	囲む	enclose, encircle
こんなん	困難	difficulty, hardship
こまる	困る	be at a loss, in a jam, in trouble
だんち	団地	housing estate, housing complex
だんたい	団体	group, corporation
よる	因る	be caused by, be due to
かいてん	回転	revolution, rotation
かいろ	回路	circuit
かいとう	回答	reply, answer
かいすうけん	回数券	book of tickets
かいすう	回数	frequency, number of times
かいふく	回復	recovery, rehabilitation
まわる	回る	turn round, go round, detour
まわりみち	回り道	roundabout way, detour
まわり・まわり	回り・周り	vicinity, whereabouts
まわす	回す	turn, rotate
しかくい	四角い	square, four-sided
しかく	四角	square, quadrilateral
よっか	四日	four days, 4th of the month
しほう	四方	all directions, far and wide
しき	四季	the four seasons
よつかど	四つ角	street corner, intersection
よっつ	四つ	four (things)
し	四	four
よん	四	four
ささやく	囁く	whisper
ふんか	噴火	eruption, volcanic activity
ふんすい	噴水	jet, fountain
きよう	器用	skillful, clever
きかい	器械	instrument, apparatus
きぐ	器具	utensil, implement
うつわ	器	vessel, dish
かむ	噛む	bite, chew
かみつく	噛み付く	bite at
うわさ	噂	gossip, rumor
うそつき	嘘つき	liar
うそ	嘘	lie
なげく	嘆く	sigh, grieve
かぐ	嗅ぐ	smell, sniff
えいぎょう	営業	business, sales
きっさてん	喫茶店	coffee shop, tea house, café
きつえん	喫煙	smoking
けんか	喧嘩	fight, quarrel, argument
きげき	喜劇	comedy
よろこぶ	喜ぶ	be happy, be delighted
よろこび	喜び	joy, happiness
よろこばす	喜ばす	please, gladden
のど	喉	the throat
もんだい	問題	problem, question
もんどう	問答	questions and answers, argument
とんや	問屋	wholesale store, wholesaler
とう	問う	ask, question
といあわせる	問い合わせる	inquire, contact
とい	問い	question, inquiry
しょうしゃ	商社	trading firm
しょうぎょう	商業	commerce, trade
しょうてん	商店	shop, store
しょうばい	商売	trade, business
しょうひん	商品	goods, commodities
しょうにん	商人	merchant, trader
つば	唾	saliva, spittle
くちびる	唇	lip, lips
てつがく	哲学	philosophy
ひんしつ	品質	quality
しなもの	品物	article, thing
しなぎれ	品切れ	run out, sell out
しな	品	article, item
せき	咳	cough
さく	咲く	bloom, blossom
わしょく	和食	Japanese-style food
わふう	和風	Japanese style
わご	和語	native Japanese word
わえい	和英	Japanese-English
わふく	和服	Japanese clothes, kimono
わしき	和式	Japanese style
わしつ	和室	Japanese style room
やわらげる	和らげる	soften, relieve
やわらぐ	和らぐ	soften, calm down
なごやか	和やか	peaceful, mild
めいれい	命令	command, order
めいじる	命じる	order, give orders
いのち	命	life
こきゅう	呼吸	breathing, respiration
よぶ	呼ぶ	call, name
よびかける	呼び掛ける	call to, appeal to
よびだす	呼び出す	call, page
みかた	味方	friend, ally
みそしる	味噌汁	miso soup
みそ	味噌	miso, soybean paste
あじわう	味わう	taste, appreciate
あじ	味	taste, flavor
しゅうへん	周辺	environs, circumference
しゅうい	周囲	circumference, surroundings
ふく	吹く	blow, play on a wind instrument
きゅうしゅう	吸収	absorption, merger
すう	吸う	inhale, suck
すいこむ	吸い込む	inhale, suck in
ふくめる	含める	include
ふくむ	含む	contain, include
ひてい	否定	denial, negation
ほえる	吠える	bark, bay
きみ	君	you
こうじょう	向上	improvement
むこうがわ	向こう側	other side
むこう	向こう	the other side, the other party, opponent
むける	向ける	turn toward, point at
むく	向く	turn, face, look
むき	向き	direction, turn
むかう	向かう	face, confront, head toward
むかい	向かい	opposite side
はく	吐く	holler, spew
めいし	名詞	noun
めいぼ	名簿	registry, name list
めいしょう	名称	name
めいぶつ	名物	specialty, noted product
なふだ	名札	name badge, tag
めいしょ	名所	noted place, sights
みょうじ	名字	surname, family name
なまえ	名前	name
めいし	名刺	business card, calling card
なづける	名付ける	name, give a name to
めいじん	名人	master, master hand
な	名	name, reputation
どうきゅうせい	同級生	classmate
どうとう	同等	equality
どうよう	同様	similar
どうじ	同時	simultaneous
どうい	同意	consent, approval
どうじょう	同情	sympathy, compassion
どうせい	同性	of the same sex
どうきょ	同居	living together
どうふう	同封	enclosure
どうせい	同姓	same surname
どうし	同士	fellow, to each other
どういつ	同一	sameness, identity
おなじ	同じ	same, identical
つるす	吊るす	hang
ごうけい	合計	sum total
ごうりてき	合理的	rational, logical
ごうかく	合格	passing an examination, eligibility
ごうせい	合成	composition, synthesis
ごうい	合意	mutual agreement
あいず	合図	signal, sign
がっしょう	合唱	chorus
ごうどう	合同	combination, joint
あわせる	合わせる	adjust, match
あわす	合わす	match, add
あう	合う	fit
かくじ	各自	each one, every individual
かくしゅ	各種	each kind, various
かくち	各地	every place, various parts
かっこく	各国	every country
しかい	司会	master of ceremonies, host
みぎて	右手	right hand
みぎがわ	右側	right side
みぎ	右	right
しかる	叱る	scold, tell off, reprimand
たいふう	台風	typhoon
だいどころ	台所	kitchen
だい	台	stand, platform
かのう	可能	possible, potential
かわいらしい	可愛らしい	lovely, charming
かわいがる	可愛がる	love, cherish
かわいい	可愛い	cute, charming, sweet
かわいそう	可哀相	poor, pitiable
か	可	permitted, OK
めしあがる	召し上がる	eat, drink
さけぶ	叫ぶ	shout, cry out
さけび	叫び	shout, cry
たたく	叩く	tap, hit
く	句	phrase, clause
ふるさと	古里	hometown, birthplace
ふるほん	古本	secondhand book
こてん	古典	classics
こだい	古代	ancient times, antiquity
ふるい	古い	old
くちべに	口紅	lipstick, rouge
くちげんか	口げんか	quarrel
くち	口	mouth
じゅけん	受験	take an examination
じゅわき	受話器	receiver
うけつけ	受付	receptionist, information office
うけみ	受け身	passiveness, passive voice
うけとめる	受け止める	catch, receive
うけもつ	受け持つ	have charge of
うけとる	受け取る	receive, understand
うけとり	受け取り	receipt
